layer,name,accuracy_smart_v2,accuracy_smart_v2_ci_lo,accuracy_smart_v2_ci_hi,accuracy_legacy,loop_rate,truncation_rate,parse_rate,mean_gen_tokens,n_problems,attention_type,is_kv_consumer,depth_tertile,round2c_base_ppl,base_ppl,delta_ppl,bucket,bucket_reason
0,L00,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.04,2.34,50,sliding_attention,False,early,1098.9290144199804,,,broken,acc=0.00 loop=0.00 trunc=0.00
1,L01,0.0,0.0,0.07135003417431873,0.0,0.22,0.14,0.1,113.78,50,sliding_attention,False,early,1128.546909991819,,,broken,acc=0.00 loop=0.22 trunc=0.14
2,L02,0.0,0.0,0.07135003417431873,0.0,0.04,0.02,0.14,36.82,50,sliding_attention,False,early,1680.2238711678299,,,broken,acc=0.00 loop=0.04 trunc=0.02
3,L03,0.0,0.0,0.07135003417431873,0.0,0.0,0.0,0.06,3.56,50,sliding_attention,False,early,855.348817146455,,,broken,acc=0.00 loop=0.00 trunc=0.00
4,L04,0.0,0.0,0.07135003417431873,0.0,0.28,0.18,0.2,156.56,50,full_attention,False,early,3096.2825053433817,,,broken,acc=0.00 loop=0.28 trunc=0.18
5,L05,0.0,0.0,0.07135003417431873,0.0,0.44,0.24,0.28,257.34,50,sliding_attention,False,early,774.1188805548478,,,broken,acc=0.00 loop=0.44 trunc=0.24
6,L06,0.0,0.0,0.07135003417431873,0.0,0.38,0.34,0.04,195.42,50,sliding_attention,False,early,576.3324139180161,,,broken,acc=0.00 loop=0.38 trunc=0.34
7,L07,0.0,0.0,0.07135003417431873,0.0,0.64,0.48,0.2,347.42,50,sliding_attention,False,early,543.0098739571878,,,broken,acc=0.00 loop=0.64 trunc=0.48
8,L08,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.54,0.36,0.54,421.54,50,sliding_attention,False,early,2044.5327074204513,,,broken,acc=0.02 loop=0.54 trunc=0.36
9,L09,0.0,0.0,0.07135003417431873,0.0,0.82,0.3,0.54,443.42,50,full_attention,False,early,5104.3680191110225,,,broken,acc=0.00 loop=0.82 trunc=0.30
10,L10,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.78,0.18,0.68,424.0,50,sliding_attention,False,early,5218.178691595981,,,broken,acc=0.02 loop=0.78 trunc=0.18
11,L11,0.0,0.0,0.07135003417431873,0.0,0.06,0.0,0.2,31.72,50,sliding_attention,False,early,56276429.573921375,,,broken,acc=0.00 loop=0.06 trunc=0.00
12,L12,0.0,0.0,0.07135003417431873,0.0,0.24,0.22,0.78,512.0,50,sliding_attention,False,mid,81335.92119853859,,,broken,acc=0.00 loop=0.24 trunc=0.22
13,L13,0.0,0.0,0.07135003417431873,0.02,0.08,0.1,0.88,482.56,50,sliding_attention,False,mid,261567.0296796258,,,broken,acc=0.00 loop=0.08 trunc=0.10
14,L14,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.74,0.0,0.72,224.16,50,full_attention,False,mid,1872.7414078848312,,,broken,acc=0.02 loop=0.74 trunc=0.00
15,L15,0.02,0.0035391680889764604,0.10495686471836953,0.04,0.92,0.04,0.96,481.7,50,sliding_attention,True,mid,35.285626019294206,,,broken,acc=0.02 loop=0.92 trunc=0.04
16,L16,0.0,0.0,0.07135003417431873,0.0,0.76,0.22,0.76,480.72,50,sliding_attention,True,mid,38.76642409020223,,,broken,acc=0.00 loop=0.76 trunc=0.22
17,L17,0.04,0.011038652660826577,0.13460337877954667,0.06,0.46,0.04,0.96,500.92,50,sliding_attention,True,mid,42.58930699271465,,,broken,acc=0.04 loop=0.46 trunc=0.04
18,L18,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.58,0.02,0.98,512.0,50,sliding_attention,True,mid,108.08855402254906,,,broken,acc=0.02 loop=0.58 trunc=0.02
19,L19,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.98,0.3,0.7,512.0,50,full_attention,True,mid,103.74448310546998,,,broken,acc=0.02 loop=0.98 trunc=0.30
20,L20,0.0,0.0,0.07135003417431873,0.0,0.58,0.14,0.86,512.0,50,sliding_attention,True,mid,416.9346455607616,,,broken,acc=0.00 loop=0.58 trunc=0.14
21,L21,0.0,0.0,0.07135003417431873,0.0,1.0,0.12,0.88,512.0,50,sliding_attention,True,mid,454.22710423101444,,,broken,acc=0.00 loop=1.00 trunc=0.12
22,L22,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.9,0.44,0.56,512.0,50,sliding_attention,True,mid,975.6146528874953,,,broken,acc=0.02 loop=0.90 trunc=0.44
23,L23,0.0,0.0,0.07135003417431873,0.0,1.0,0.3,0.7,511.3,50,sliding_attention,True,mid,592.4572293974927,,,broken,acc=0.00 loop=1.00 trunc=0.30
24,L24,0.0,0.0,0.07135003417431873,0.0,0.98,0.58,0.34,485.6,50,full_attention,True,late,4390.726274600373,,,broken,acc=0.00 loop=0.98 trunc=0.58
25,L25,0.0,0.0,0.07135003417431873,0.0,0.88,0.0,0.98,492.16,50,sliding_attention,True,late,1142.686785960197,,,broken,acc=0.00 loop=0.88 trunc=0.00
26,L26,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.66,0.02,0.94,462.5,50,sliding_attention,True,late,860.4166831954803,,,broken,acc=0.02 loop=0.66 trunc=0.02
27,L27,0.0,0.0,0.07135003417431873,0.0,0.98,0.64,0.36,512.0,50,sliding_attention,True,late,480.431846085616,,,broken,acc=0.00 loop=0.98 trunc=0.64
28,L28,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.44,0.02,0.7,190.08,50,sliding_attention,True,late,523.9538879720433,,,broken,acc=0.02 loop=0.44 trunc=0.02
29,L29,0.02,0.0035391680889764604,0.10495686471836953,0.02,0.96,0.58,0.42,512.0,50,full_attention,True,late,2435.355097515202,,,broken,acc=0.02 loop=0.96 trunc=0.58
30,L30,0.0,0.0,0.07135003417431873,0.0,0.84,0.1,0.82,427.06,50,sliding_attention,True,late,489.92374405975494,,,broken,acc=0.00 loop=0.84 trunc=0.10
31,L31,0.0,0.0,0.07135003417431873,0.0,0.32,0.02,0.8,182.7,50,sliding_attention,True,late,36895.27084499769,,,broken,acc=0.00 loop=0.32 trunc=0.02
32,L32,0.0,0.0,0.07135003417431873,0.0,1.0,0.2,0.8,512.0,50,sliding_attention,True,late,56540.59789066196,,,broken,acc=0.00 loop=1.00 trunc=0.20
33,L33,0.0,0.0,0.07135003417431873,0.0,0.98,1.0,0.0,512.0,50,sliding_attention,True,late,5459852049.606502,,,broken,acc=0.00 loop=0.98 trunc=1.00
34,L34,0.0,0.0,0.07135003417431873,0.0,1.0,0.28,0.72,512.0,50,full_attention,True,late,2.8610549474667053e+20,,,broken,acc=0.00 loop=1.00 trunc=0.28
